artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
65;Chócolo mazorca;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1429;1286;1357
121;Mango manzano;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2400;2000;2217
38;Arveja verde en vaina pastusa;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4400;3840;4160
207;Arveja verde seca importada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1880;1840;1853
4;Cilantro;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;5000;4500;4750
341;Manteca;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4800;4790;4795
126;Manzana roja importada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6316;6053;6167
238;Queso costeño;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;16000;16667
348;Azúcar sulfitada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2300;2280;2290
315;Corvina, filete congelado nacional;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;36000;36000;36000
100;Curuba;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;3000;3000
128;Manzana verde importada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6842;6842;6842
133;Maracuyá;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4500;4500;4500
239;Queso cuajada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11000;10400;10800
240;Queso doble crema;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;13000;12000;12667
93;Banano criollo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1278;1278;1278
342;Margarina;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;18060;18050;18055
